Ticker,Prix,High52W,Low52W,Median52W,ZoneHigh,ZoneLow,PctRange,DistMedian_%,MM30_Daily,Dist_MM30_%,MM30DailySlope_%,Vol14j_%,ATR14j_$,MM30W_3W_Haussier,Phase2_Daily,Breakout,In_Zone,Strat1_Zone,Strat2_Pullback,Strat3_Precoce,Setup,Prix_Alert_Pullback_m3,Prix_Alert_Pullback_p3,PRU_$,Qte_Total,Qte_par_Tier,T1_Prix_$,T1_Gain_$,T2_Prix_$,T2_Gain_$,Signal_Secu_$,SL_Secu_$,T3_Trailing_$,SL_Initial_$,Perte_Max_$,Gain_Secu_$,RR_Ratio
MA,597.55,598.61,463.74,531.18,597.57,464.78,99.2,12.5,560.62,6.6,2.87,4.93,10.37,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,543.81,577.44,597.55,1.2551,0.4184,896.32,125.0,1224.98,262.5,717.06,645.35,561.7,561.7,45.0,387.5,8.61
MAA,133.64,142.76,117.48,130.12,146.39,113.86,63.9,2.7,133.06,0.4,-1.28,4.31,2.49,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,129.07,137.05,,,,,,,,,,,,,,
MAC,24.34,26.68,15.63,21.16,23.8,18.51,78.8,15.0,25.15,-3.2,-0.76,9.18,0.6,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,24.4,25.91,,,,,,,,,,,,,,
MAIN,58.89,62.73,47.95,55.34,62.25,48.42,74.1,6.4,56.09,5.0,4.28,5.63,1.18,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,54.41,57.77,,,,,,,,,,,,,,
MAN,61.43,62.93,24.58,43.75,49.22,38.28,96.1,40.4,54.33,13.1,14.88,8.24,2.11,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,52.7,55.96,,,,,,,,,,,,,,
MANH,213.49,220.31,119.06,169.68,190.9,148.47,93.3,25.8,183.49,16.4,10.32,7.05,7.19,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,177.98,188.99,,,,,,,,,,,,,,
MANU,23.72,24.45,14.59,19.52,21.96,17.08,92.6,21.5,22.8,4.0,1.44,7.79,0.76,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,22.12,23.49,,,,,,,,,,,,,,
MAR,359.24,410.15,254.64,332.39,373.94,290.84,67.3,8.1,362.13,-0.8,-1.52,5.81,7.56,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,351.27,372.99,,,,,,,,,,,,,,
MARA,11.39,23.45,6.66,15.06,16.94,13.17,28.1,-24.4,10.97,3.8,-8.07,23.65,0.87,OUI,NON,NON,NON,NON,NON,NON,🔴 Rejet,10.64,11.3,,,,,,,,,,,,,,
MAS,73.14,83.64,57.76,70.7,79.54,61.86,59.4,3.4,76.05,-3.8,-2.19,7.02,2.09,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,73.76,78.33,,,,,,,,,,,,,,
MAT,14.84,22.48,12.73,17.6,19.81,15.4,21.6,-15.7,14.64,1.3,2.96,6.84,0.49,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,14.2,15.08,,,,,,,,,,,,,,
MB,4.75,19.75,3.51,11.63,13.08,10.18,7.6,-59.2,4.68,1.4,7.66,146.18,1.94,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,4.54,4.82,,,,,,,,,,,,,,
MBG,21.96,22.44,21.11,21.78,24.5,19.05,63.8,0.8,21.98,-0.1,-0.2,1.21,0.09,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,21.32,22.64,,,,,,,,,,,,,,
MBLY,8.59,15.81,6.47,11.14,12.53,9.75,22.6,-22.9,8.68,-1.1,-2.07,9.81,0.36,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,8.42,8.94,,,,,,,,,,,,,,
MC,68.34,75.92,50.06,62.99,70.86,55.12,70.7,8.5,67.1,1.9,1.06,11.22,2.58,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,65.08,69.11,,,,,,,,,,,,,,
MCD,272.36,337.56,260.96,299.26,336.67,261.85,14.9,-9.0,269.71,1.0,-0.54,4.15,5.04,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,261.62,277.8,,,,,,,,,,,,,,
MCHP,74.12,105.38,47.57,76.47,86.03,66.91,45.9,-3.1,79.08,-6.3,-3.77,17.03,3.85,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,76.71,81.45,,,,,,,,,,,,,,
MCK,869.48,997.9,670.65,834.27,938.56,729.99,60.8,4.2,852.79,2.0,3.13,8.61,28.57,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,827.21,878.38,869.48,0.8626,0.2875,1304.22,125.0,1782.43,262.5,1043.38,939.04,817.31,817.31,45.0,387.5,8.61
MCO,508.55,543.25,399.61,471.43,530.36,412.5,75.8,7.9,487.58,4.3,0.59,4.93,10.42,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,472.95,502.21,,,,,,,,,,,,,,
MCRI,124.59,135.93,87.36,111.65,125.6,97.69,76.7,11.6,123.11,1.2,-1.0,5.35,2.91,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,119.41,126.8,,,,,,,,,,,,,,
MDB,406.26,473.1,208.65,340.88,383.48,298.27,74.7,19.2,371.25,9.4,8.48,16.8,22.57,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,360.11,382.39,406.26,1.8461,0.6154,609.39,125.0,832.83,262.5,487.51,438.76,381.88,381.88,45.0,387.5,8.61
MDGL,513.33,615.0,393.61,504.3,567.34,441.27,54.1,1.8,525.2,-2.3,-0.94,9.49,18.09,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,509.44,540.95,,,,,,,,,,,,,,
MDLZ,64.46,66.65,50.34,58.49,65.81,51.18,86.6,10.2,62.05,3.9,2.17,4.6,1.22,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,60.19,63.91,64.46,11.6351,3.8784,96.69,125.0,132.14,262.5,77.35,69.62,60.59,60.59,45.0,387.5,8.61
MDT,92.97,103.76,72.65,88.21,99.23,77.18,65.3,5.4,86.97,6.9,3.92,4.71,2.01,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,84.36,89.58,,,,,,,,,,,,,,
MEDP,618.08,677.9,373.0,525.45,591.13,459.77,80.4,17.6,578.7,6.8,3.56,6.43,17.35,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,561.34,596.06,618.08,1.2134,0.4045,927.12,125.0,1267.06,262.5,741.7,667.53,581.0,581.0,45.0,387.5,8.61
MELI,1955.63,2548.5,1495.0,2021.75,2274.47,1769.03,43.7,-3.3,1855.13,5.4,1.6,13.36,77.05,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,1799.47,1910.78,,,,,,,,,,,,,,
MET,96.04,100.93,66.41,83.67,94.13,73.21,85.8,14.8,95.27,0.8,2.53,5.85,1.82,OUI,OUI,OUI,NON,NON,OUI,NON,🟢 STRAT2: Pullback MM30,92.41,98.12,96.04,7.8092,2.6031,144.06,125.0,196.88,262.5,115.25,103.72,90.28,90.28,45.0,387.5,8.61
META,560.16,788.22,519.78,654.0,735.75,572.25,15.0,-14.3,595.36,-5.9,-2.3,7.76,17.03,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,577.5,613.22,,,,,,,,,,,,,,
MF,17.83,98.5,2.12,50.31,56.6,44.02,16.3,-64.6,9.21,93.5,41.63,46.28,2.74,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,8.94,9.49,,,,,,,,,,,,,,
MGA,67.42,73.22,42.14,57.68,64.89,50.47,81.3,16.9,68.39,-1.4,3.27,11.94,2.12,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,66.34,70.45,,,,,,,,,,,,,,
MGM,43.81,51.59,29.19,40.39,45.44,35.34,65.3,8.5,44.92,-2.5,-2.57,4.55,0.8,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,43.58,46.27,,,,,,,,,,,,,,
MGNI,23.62,26.65,10.82,18.73,21.08,16.39,80.9,26.1,21.5,9.9,6.37,18.76,1.08,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,20.85,22.14,23.62,31.7528,10.5843,35.43,125.0,48.42,262.5,28.34,25.51,22.2,22.2,45.0,387.5,8.61
MGPI,18.19,29.86,15.62,22.74,25.58,19.9,18.1,-20.0,17.76,2.4,2.12,8.34,0.72,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,17.22,18.29,,,,,,,,,,,,,,
MGY,27.16,32.33,20.67,26.5,29.81,23.19,55.6,2.5,25.77,5.4,1.85,9.3,0.84,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,24.99,26.54,27.16,27.6141,9.2047,40.74,125.0,55.68,262.5,32.59,29.33,25.53,25.53,45.0,387.5,8.61
MHK,134.88,143.13,92.99,118.06,132.82,103.3,83.5,14.2,125.22,7.7,6.15,6.77,3.77,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,121.46,128.98,134.88,5.5605,1.8535,202.32,125.0,276.5,262.5,161.86,145.67,126.79,126.79,45.0,387.5,8.61
MIDD,114.62,148.55,89.16,118.85,133.71,104.0,42.9,-3.6,127.79,-10.3,-5.39,9.13,4.05,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,123.95,131.62,,,,,,,,,,,,,,
MKC,55.72,71.13,44.42,57.77,64.99,50.55,42.3,-3.6,52.75,5.6,1.72,5.26,1.37,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,51.17,54.34,,,,,,,,,,,,,,
MKL,1812.73,2207.59,1719.41,1963.5,2208.94,1718.06,19.1,-7.7,1896.14,-4.4,-2.4,3.77,30.96,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,1839.26,1953.03,,,,,,,,,,,,,,
MKSI,270.77,447.62,97.18,272.4,306.45,238.35,49.5,-0.6,309.75,-12.6,-8.3,14.51,16.95,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,300.45,319.04,,,,,,,,,,,,,,
MLAB,122.9,125.3,58.52,91.91,103.4,80.42,96.4,33.7,104.57,17.5,5.39,16.57,6.23,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,101.43,107.71,,,,,,,,,,,,,,
MLI,63.54,71.12,45.09,58.1,65.37,50.84,70.9,9.3,64.58,-1.6,4.05,5.82,1.67,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,62.65,66.52,,,,,,,,,,,,,,
MLM,532.68,709.08,522.19,615.64,692.59,538.68,5.6,-13.5,549.97,-3.1,-2.63,6.47,12.63,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,533.47,566.47,,,,,,,,,,,,,,
MMM,178.86,184.9,138.62,161.76,181.98,141.54,86.9,10.6,175.63,1.8,4.41,2.81,3.2,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,170.36,180.9,178.86,4.1932,1.3977,268.29,125.0,366.66,262.5,214.63,193.17,168.13,168.13,45.0,387.5,8.61
MMS,58.28,98.42,52.42,75.42,84.85,65.99,12.7,-22.7,58.24,0.1,0.36,12.45,2.38,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,56.49,59.98,,,,,,,,,,,,,,
MMSI,90.51,94.75,59.74,77.25,86.9,67.59,87.9,17.2,83.25,8.7,8.39,4.8,2.0,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,80.75,85.75,,,,,,,,,,,,,,
MNSO,11.1,26.11,10.64,18.38,20.67,16.08,3.0,-39.6,12.16,-8.7,-1.26,10.94,0.31,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,11.8,12.53,,,,,,,,,,,,,,
MNST,48.73,100.34,45.05,72.69,81.78,63.61,6.6,-33.0,71.5,-31.9,-18.88,120.4,10.97,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,69.36,73.65,,,,,,,,,,,,,,
MO,68.07,77.06,53.01,65.03,73.16,56.9,62.6,4.7,69.15,-1.6,-3.11,7.15,1.57,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,67.08,71.23,,,,,,,,,,,,,,
MOD,190.23,323.25,111.18,217.22,244.37,190.06,37.3,-12.4,210.6,-9.7,-6.26,12.9,11.98,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,204.28,216.92,,,,,,,,,,,,,,
MOH,199.29,244.89,121.06,182.97,205.85,160.1,63.2,8.9,206.05,-3.3,-4.59,9.92,7.2,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,199.87,212.24,,,,,,,,,,,,,,
MORN,217.69,263.33,141.06,202.19,227.47,176.92,62.7,7.7,192.52,13.1,8.35,6.87,6.77,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,186.75,198.3,217.69,3.4453,1.1484,326.53,125.0,446.26,262.5,261.23,235.11,204.63,204.63,45.0,387.5,8.61
MP,57.46,100.25,37.81,69.03,77.66,60.4,31.5,-16.8,49.36,16.4,2.77,16.15,3.55,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,47.88,50.84,,,,,,,,,,,,,,
MPC,360.94,367.6,160.07,263.84,296.82,230.86,96.8,36.8,324.17,11.3,9.42,11.01,12.11,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,314.44,333.89,,,,,,,,,,,,,,
MPLX,58.49,60.16,44.22,52.19,58.71,45.67,89.5,12.1,57.77,1.2,1.85,4.32,0.98,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,56.04,59.51,58.49,12.8227,4.2742,87.74,125.0,119.9,262.5,70.19,63.17,54.98,54.98,45.0,387.5,8.61
MPT,4.12,6.23,3.96,5.1,5.73,4.46,7.1,-19.1,4.5,-8.4,-3.34,14.15,0.17,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,4.36,4.63,,,,,,,,,,,,,,
MPWR,1288.3,1711.48,795.4,1253.44,1410.12,1096.76,53.8,2.8,1350.77,-4.6,0.72,9.96,62.29,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,1310.24,1391.29,,,,,,,,,,,,,,
MQ,16.32,25.83,14.8,20.32,22.86,17.78,13.8,-19.7,16.79,-2.8,-0.75,12.1,0.71,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,16.29,17.3,,,,,,,,,,,,,,
MRCY,90.65,128.45,65.04,96.74,108.84,84.65,40.4,-6.3,102.45,-11.5,-3.64,11.9,5.74,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,99.37,105.52,,,,,,,,,,,,,,
MRK,150.54,154.49,75.81,115.15,129.54,100.76,95.0,30.7,132.47,13.6,3.73,13.18,4.47,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,128.5,136.45,,,,,,,,,,,,,,
MRNA,140.55,176.66,22.28,99.47,111.9,87.04,76.6,41.3,71.36,97.0,12.2,179.91,16.98,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,69.22,73.5,140.55,5.3362,1.7787,210.82,125.0,288.13,262.5,168.66,151.79,132.12,132.12,45.0,387.5,8.61
MRP,30.47,32.54,25.6,29.07,32.7,25.44,70.1,4.8,29.2,4.3,1.78,4.8,0.56,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,28.32,30.08,30.47,24.6144,8.2048,45.7,125.0,62.46,262.5,36.56,32.91,28.64,28.64,45.0,387.5,8.61
MRSH,194.06,208.37,155.72,182.05,204.8,159.29,72.8,6.6,186.89,3.8,2.71,3.77,3.6,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,181.29,192.5,194.06,3.8648,1.2883,291.09,125.0,397.82,262.5,232.87,209.58,182.42,182.42,45.0,387.5,8.61
MRVL,231.39,329.8,61.31,195.55,220.0,171.11,63.3,18.3,208.76,10.8,-3.4,18.5,16.66,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,202.5,215.02,,,,,,,,,,,,,,
MRX,70.25,75.4,27.59,51.49,57.93,45.06,89.2,36.4,65.9,6.6,2.68,20.95,3.68,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,63.92,67.88,,,,,,,,,,,,,,
MS,214.79,230.98,141.46,186.22,209.5,162.94,81.9,15.3,214.89,-0.0,-0.12,5.8,4.53,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,208.45,221.34,,,,,,,,,,,,,,
MSA,189.77,207.14,149.32,178.23,200.51,155.95,70.0,6.5,182.87,3.8,3.73,1.73,3.72,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,177.38,188.36,189.77,3.9522,1.3174,284.66,125.0,389.03,262.5,227.72,204.95,178.38,178.38,45.0,387.5,8.61
MSCI,570.75,642.47,495.54,569.01,640.13,497.88,51.2,0.3,575.2,-0.8,-1.66,5.18,12.48,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,557.94,592.46,,,,,,,,,,,,,,
MSFT,487.8,549.2,348.54,448.87,504.98,392.76,69.4,8.7,448.54,8.8,8.48,5.31,9.69,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,435.08,462.0,487.8,1.5375,0.5125,731.7,125.0,999.99,262.5,585.36,526.82,458.53,458.53,45.0,387.5,8.61
MSGS,402.33,438.93,193.87,316.4,355.95,276.85,85.1,27.2,397.62,1.2,1.1,6.94,12.43,OUI,OUI,OUI,NON,NON,OUI,NON,🟢 STRAT2: Pullback MM30,385.69,409.54,402.33,1.8641,0.6214,603.5,125.0,824.78,262.5,482.8,434.52,378.19,378.19,45.0,387.5,8.61
MSM,118.89,130.46,76.68,103.57,116.52,90.62,78.5,14.8,123.34,-3.6,0.11,5.48,3.03,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,119.64,127.04,,,,,,,,,,,,,,
MSTR,122.47,365.21,81.81,223.51,251.45,195.57,14.3,-45.2,98.76,24.0,2.89,18.67,6.4,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,95.8,101.73,,,,,,,,,,,,,,
MT,72.68,75.51,31.5,53.5,60.19,46.81,93.6,35.8,70.31,3.4,5.15,7.67,2.16,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,68.2,72.42,,,,,,,,,,,,,,
MTB,242.07,255.95,170.99,213.47,240.15,186.79,83.7,13.4,249.05,-2.8,1.18,4.17,3.99,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,241.58,256.52,,,,,,,,,,,,,,
MTCH,41.46,41.59,28.48,35.03,39.41,30.66,99.0,18.3,38.76,7.0,0.26,11.24,1.37,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,37.59,39.92,,,,,,,,,,,,,,
MTD,1405.28,1525.17,1023.05,1274.11,1433.37,1114.85,76.1,10.3,1381.55,1.7,3.22,3.75,34.7,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,1340.1,1423.0,,,,,,,,,,,,,,
MTDR,57.49,65.88,35.98,50.93,57.3,44.57,71.9,12.9,52.01,10.5,3.34,10.58,2.0,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,50.45,53.57,57.49,13.0457,4.3486,86.24,125.0,117.85,262.5,68.99,62.09,54.04,54.04,45.0,387.5,8.61
MTH,72.5,85.38,57.65,71.51,80.45,62.57,53.5,1.4,72.86,-0.5,-2.8,10.16,2.33,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,70.67,75.04,,,,,,,,,,,,,,
MTN,150.4,160.49,116.69,138.59,155.91,121.26,77.0,8.5,149.1,0.9,1.5,6.88,4.21,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,144.62,153.57,150.4,4.9867,1.6622,225.6,125.0,308.32,262.5,180.48,162.43,141.38,141.38,45.0,387.5,8.61
MTSI,258.64,418.9,121.97,270.43,304.24,236.63,46.0,-4.4,279.41,-7.4,-4.2,22.55,19.7,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,271.03,287.8,,,,,,,,,,,,,,
MTX,71.37,84.07,53.68,68.87,77.48,60.26,58.2,3.6,73.58,-3.0,-0.66,4.76,1.83,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,71.37,75.79,,,,,,,,,,,,,,
MTZ,257.5,441.43,171.05,306.24,344.52,267.96,32.0,-15.9,301.54,-14.6,-10.5,12.89,15.24,OUI,NON,NON,NON,NON,NON,NON,🔴 Rejet,292.5,310.59,,,,,,,,,,,,,,
MU,914.83,1254.81,114.07,684.44,769.99,598.88,70.2,33.7,904.54,1.1,-2.3,13.31,56.66,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,877.4,931.67,,,,,,,,,,,,,,
MUFG,21.99,23.25,14.62,18.93,21.3,16.57,85.3,16.1,22.35,-1.6,2.26,7.52,0.47,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,21.68,23.02,,,,,,,,,,,,,,
MUR,35.92,42.53,21.73,32.13,36.15,28.12,68.2,11.8,36.3,-1.1,2.78,15.17,1.58,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,35.21,37.39,,,,,,,,,,,,,,
MUSA,566.45,636.05,348.26,492.16,553.68,430.64,75.8,15.1,586.45,-3.4,-0.38,12.13,21.63,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,568.86,604.04,,,,,,,,,,,,,,
MXL,63.21,128.3,12.77,70.54,79.35,61.72,43.7,-10.4,73.26,-13.7,-10.66,27.02,6.71,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,71.06,75.46,,,,,,,,,,,,,,
MYRG,305.07,503.57,171.51,337.54,379.73,295.35,40.2,-9.6,352.21,-13.4,-10.14,7.73,14.75,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,341.64,362.77,,,,,,,,,,,,,,
MZTI,114.49,185.91,104.28,145.1,163.23,126.96,12.5,-21.1,111.15,3.0,0.3,6.25,3.03,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,107.81,114.48,,,,,,,,,,,,,,
NABL,3.58,8.73,2.92,5.83,6.56,5.1,11.3,-38.7,4.18,-14.5,-5.3,41.1,0.38,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,4.05,4.3,,,,,,,,,,,,,,
NBIS,211.18,299.86,63.26,181.56,204.25,158.86,62.5,16.3,208.34,1.4,2.02,42.08,23.33,OUI,OUI,OUI,NON,NON,OUI,OUI,🟢 STRAT2: Pullback MM30,202.09,214.59,211.18,3.5515,1.1838,316.77,125.0,432.92,262.5,253.42,228.07,198.51,198.51,45.0,387.5,8.61
NBIX,153.35,186.12,122.14,154.13,173.4,134.86,48.8,-0.5,166.02,-7.6,-3.81,6.95,4.27,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,161.04,171.0,,,,,,,,,,,,,,
NCLH,17.23,27.18,14.53,20.86,23.46,18.25,21.3,-17.4,19.06,-9.6,-3.14,9.99,0.68,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,18.48,19.63,,,,,,,,,,,,,,
NCNO,20.94,33.92,13.8,23.86,26.84,20.88,35.5,-12.2,18.85,11.1,5.74,10.39,0.76,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,18.28,19.41,,,,,,,,,,,,,,
NDAQ,98.38,101.11,76.55,88.83,99.93,77.72,88.9,10.8,94.4,4.2,4.66,2.94,1.86,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,91.57,97.23,98.38,7.6235,2.5412,147.57,125.0,201.68,262.5,118.06,106.25,92.48,92.48,45.0,387.5,8.61
NDSN,334.61,338.55,217.21,277.88,312.61,243.14,96.7,20.4,303.91,10.1,2.86,8.62,7.09,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,294.79,313.03,,,,,,,,,,,,,,
NE,45.74,54.39,25.3,39.85,44.83,34.87,70.2,14.8,42.79,6.9,5.49,8.44,1.41,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,41.5,44.07,45.74,16.397,5.4657,68.61,125.0,93.77,262.5,54.89,49.4,43.0,43.0,45.0,387.5,8.61
NEE,83.93,98.03,67.81,82.92,93.29,72.56,53.3,1.2,87.05,-3.6,-0.88,3.12,1.39,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,84.44,89.66,,,,,,,,,,,,,,
NEM,131.07,134.29,68.32,101.31,113.97,88.65,95.1,29.4,105.11,24.7,9.39,13.07,5.14,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,101.96,108.27,,,,,,,,,,,,,,
NEO,16.39,17.08,6.24,11.66,13.12,10.2,93.6,40.6,15.42,6.3,4.07,10.93,0.63,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,14.95,15.88,,,,,,,,,,,,,,
NEOG,11.6,12.85,4.9,8.88,9.98,7.77,84.3,30.8,10.91,6.4,7.75,9.6,0.42,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,10.58,11.24,11.6,64.6552,21.5517,17.4,125.0,23.78,262.5,13.92,12.53,10.9,10.9,45.0,387.5,8.61
NET,283.25,332.22,158.83,245.53,276.22,214.83,71.8,15.4,286.61,-1.2,5.38,14.61,17.45,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,278.02,295.21,,,,,,,,,,,,,,
NEU,939.57,981.66,574.98,778.32,875.61,681.03,89.7,20.7,856.15,9.7,6.56,4.59,25.77,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,830.46,881.83,,,,,,,,,,,,,,
NEXI,0.0,1.01,0.0,0.51,0.57,0.44,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,0.0,0.0,,,,,,,,,,,,,,
NFE,0.28,3.08,0.25,1.67,1.87,1.46,0.9,-83.5,0.33,-16.2,-5.81,12.38,0.02,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,0.32,0.34,,,,,,,,,,,,,,
NFG,82.36,96.03,74.64,85.33,96.0,74.67,36.1,-3.5,81.7,0.8,1.51,5.3,1.54,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,79.25,84.15,,,,,,,,,,,,,,
NFLX,80.43,126.71,65.08,95.9,107.88,83.91,24.9,-16.1,74.01,8.7,1.47,8.18,2.23,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,71.79,76.23,,,,,,,,,,,,,,
NGG,80.29,92.22,64.87,78.54,88.36,68.72,56.4,2.2,81.21,-1.1,-0.78,3.47,1.13,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,78.78,83.65,,,,,,,,,,,,,,
NGVT,68.95,79.29,45.85,62.57,70.39,54.75,69.1,10.2,74.24,-7.1,0.32,6.89,2.37,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,72.01,76.46,,,,,,,,,,,,,,
NI,40.66,48.88,37.45,43.16,48.56,37.77,28.1,-5.8,43.82,-7.2,-3.78,5.17,0.93,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,42.5,45.13,,,,,,,,,,,,,,
